"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""Year >= 1900"",""Earthquake Magnitude >= 1"",""Deaths >= 1""]"																																						
	1930	8	24	10	51	16			"CHINA:  SICHUAN PROVINCE"	30	100		5.5		200	3						1					200	3						1				
	1930	9	22			0			"TAJIKISTAN:  DUSHANBE (STALINABAD)"	38.4	68.5		6.3		175	3																						
	1930	10	2			0			"IRAN:  AH,MOBARAKABAD,AB ALI,SARPURAK"	35.8	52.1		5		1	1						2																
	1930	10	30	7	13	10.1	4223		"ITALY:  SENIGALLIA"	43.89	13.483	15	6	9	18	1						3		3			18	1						3		3		
	1930	11	21	2	0	25			"ALBANIA:  VLORE, HIMARE, KUC"	40.5	19.5	12	6	11	35	1			108	3		3	980	3														
	1930	11	25	19	2	47			"JAPAN:  HONSHU:  IDU"	35	139	19	7.1		259	3			1285	4		4	8099	4			259	3			1285	4		4	8099	4		
	1930	12	2	13	29	0			"ALBANIA:  VLORE, TEPELENE"	40.3	19.6	4	5	9	25	1						2																
	1930	12	3	18	51	51			"MYANMAR (BURMA):  PYU"	18.2	96.4		7.3		36	1				3		2		2		2	36	1				3		2		2		2
	1930	12	8	8	1	5			"TAIWAN:  TAINAN"	23.2	120.6		6.3		4	1				2		2	297	3			4	1				2		2	297	3		
	1930	12	24	6	2	50			"ARGENTINA:  LA POMA"	-24.7	-66.3	30	6	8	39	1				3		3		3		3	39	1				3		3		3		
	1931	1	28	5	55	0			"ALBANIA:  KORCE"	40.6	20.8	33	5.8	9	90	2						3																
	1931	2	2	22	46	51.3	1636		"NEW ZEALAND:  HAWKE BAY"	-39.772	176.025	35	7.7	9	261	3			400	3	25	4					261	3			400	3	25	4				
